DATE,ShillerIndex
2002-01,120.395792980673
2002-02,120.70003351737302
2002-03,122.958146804667
2002-04,123.707047327969
2002-05,124.950321418552
2002-06,125.597677843222
2002-07,126.853260756778
2002-08,127.753579001549
2002-09,128.573840166495
2002-10,129.20078065653
2002-11,130.256535719701
2002-12,131.830378013638
2003-01,133.271389035007
2003-02,134.661895908838
2003-03,135.520304973853
2003-04,136.626738169342
2003-05,138.117429597589
2003-06,138.665744347527
2003-07,139.35188070465298
2003-08,139.700290122979
2003-09,141.864562576138
2003-10,143.285166166052
2003-11,144.876410232503
2003-12,145.232763283726
2004-01,147.99906303094602
2004-02,149.51322406724302
2004-03,152.668746306829
2004-04,153.227857240319
2004-05,155.36340985248
2004-06,157.834042687855
2004-07,159.950267616317
2004-08,162.578638099149
2004-09,165.082919744496
2004-10,167.959497857763
2004-11,170.58815743621702
2004-12,173.570296042773
2005-01,177.24226327497502
2005-02,180.835712492684
2005-03,185.265697191397
2005-04,188.447301300054
2005-05,192.007138665982
2005-06,196.802441830977
2005-07,201.114880422943
2005-08,206.391339245118
2005-09,211.71292700050896
2005-10,217.890702202558
2005-11,222.574947810932
2005-12,226.002586772547
2006-01,229.524203714735
2006-02,232.286179099003
2006-03,235.977892315058
2006-04,237.94816198223705
2006-05,239.00398529831295
2006-06,237.96450084347697
2006-07,236.936349537521
2006-08,235.46719084697105
2006-09,234.137766535454
2006-10,232.366403253096
2006-11,231.314702195493
2006-12,230.107438649568
2007-01,229.758991574732
2007-02,230.445176599096
2007-03,229.576919884624
2007-04,226.67651723241295
2007-05,223.084736398008
2007-06,219.441603405445
2007-07,215.466109549393
2007-08,211.128412313012
2007-09,207.492506248581
2007-10,204.737028550588
2007-11,202.05146184574403
2007-12,199.5317688071
2008-01,195.861015371333
2008-02,190.786292594058
2008-03,185.194971073038
2008-04,180.890828092915
2008-05,178.06760000818298
2008-06,174.935007869333
2008-07,173.142979412944
2008-08,172.31914328292598
2008-09,168.710331270516
2008-10,164.020029046778
2008-11,159.87239563864202
2008-12,155.749513298022
2009-01,150.525561604037
2009-02,147.491582943651
2009-03,144.104215251328
2009-04,142.43404771572398
2009-05,140.982977591964
2009-06,140.391151707358
2009-07,140.861344831283
2009-08,141.410545279002
2009-09,140.304034674381
2009-10,139.057926266413
2009-11,139.029038452649
2009-12,138.88174296245398
2010-01,139.663471673538
2010-02,138.908215081219
2010-03,139.08712896639798
2010-04,138.988268375
2010-05,138.786099233766
2010-06,137.695345128158
2010-07,136.036885377621
2010-08,135.378692895642
2010-09,134.349484483206
2010-10,133.840112677039
2010-11,133.179005230333
2010-12,130.993085308598
2011-01,130.539247676372
2011-02,130.045308538181
2011-03,129.023680854286
2011-04,127.978467830494
2011-05,127.287507782172
2011-06,127.402130531557
2011-07,127.347986003228
2011-08,127.437911195332
2011-09,125.550050502489
2011-10,125.788804507946
2011-11,125.218609867551
2011-12,125.622257599268
2012-01,125.629893944277
2012-02,126.265187419185
2012-03,127.055604327444
2012-04,128.918919045785
2012-05,130.370998131079
2012-06,131.67243907897802
2012-07,132.194234645292
2012-08,132.94338817944902
2012-09,133.162182362897
2012-10,133.322163023202
2012-11,133.866261578272
2012-12,134.677700654945
2013-01,137.045708850348
2013-02,138.694603105282
2013-03,141.501604319463
2013-04,143.177840153314
2013-05,144.440838471719
2013-06,146.483428977447
2013-07,149.114829084862
2013-08,152.073848822446
2013-09,152.928031225936
2013-10,153.776006834023
2013-11,154.908177056809
2013-12,155.885777581108
2014-01,157.26617487163298
2014-02,156.876613882696
2014-03,156.177800976024
2014-04,157.373259593567
2014-05,158.95470041715902
2014-06,159.997789685076
2014-07,160.271669943676
2014-08,160.809583057781
2014-09,161.592400291719
2014-10,163.26827721093
2014-11,165.17616352028
2014-12,165.554106027373
2015-01,165.871826026609
2015-02,166.845278842515
2015-03,168.198323143057
2015-04,168.68188663766702
2015-05,168.914337339521
2015-06,168.945341682144
2015-07,169.909023710615
2015-08,171.041287827591
2015-09,172.30462898013303
2015-10,173.710282672146
2015-11,174.89737939667302
2015-12,176.676704667098
2016-01,177.79124754921398
2016-02,179.30300157222302
2016-03,180.236061157806
2016-04,181.273017022201
2016-05,181.90654800154095
2016-06,182.512908603795
2016-07,183.236248053058
2016-08,184.327026944003
2016-09,185.48524593965
2016-10,187.299577218301
2016-11,188.81726327013504
2016-12,191.25350939487095
2017-01,192.060683195694
2017-02,192.153086601619
2017-03,192.12507582776905
2017-04,193.189922114127
2017-05,194.801826558185
2017-06,195.522279042804
2017-07,196.563349556026
2017-08,197.21897219226895
2017-09,198.967739974566
2017-10,200.019704830141
2017-11,201.951158285587
2017-12,203.031634474329
2018-01,204.657133527649
2018-02,205.50370860664
2018-03,206.360035186092
2018-04,206.930658770435
2018-05,207.719887290642
2018-06,209.177865621667
2018-07,210.207984466372
2018-08,211.300942920741
2018-09,212.294247209586
2018-10,212.69373263858003
2018-11,213.223584580285
2018-12,213.581029773237
2019-01,214.847100302294
2019-02,216.416826900776
2019-03,217.150359503182
2019-04,218.327037404221
2019-05,218.525424934572
2019-06,219.14463902584703
2019-07,219.792752851008
2019-08,220.570417940614
2019-09,221.705188107166
2019-10,222.92313866204103
2019-11,223.79606296101505
2019-12,224.72457859627
2020-01,225.430479083794
2020-02,227.02634156243
2020-03,229.16505202429295
2020-04,230.736072439006
2020-05,231.45046523518505
2020-06,231.832692225191
2020-07,232.8000241461
2020-08,235.632917814379
2020-09,238.22681998487
2020-10,241.91043321784
2020-11,245.020717113294
2020-12,248.775518293955
2021-01,252.589264192108
