s_no,DATE,TPXRSA
0,2006-07,236.936349537521
1,2006-08,235.46719084697105
2,2006-09,234.137766535454
3,2006-10,232.366403253096
4,2006-11,231.314702195493
5,2006-12,230.107438649568
6,2007-01,229.758991574732
7,2007-02,230.445176599096
8,2007-03,229.576919884624
9,2007-04,226.67651723241295
10,2007-05,223.084736398008
11,2007-06,219.441603405445
12,2007-07,215.466109549393
13,2007-08,211.128412313012
14,2007-09,207.492506248581
15,2007-10,204.737028550588
16,2007-11,202.05146184574403
17,2007-12,199.5317688071
18,2008-01,195.861015371333
19,2008-02,190.786292594058
20,2008-03,185.194971073038
21,2008-04,180.890828092915
22,2008-05,178.06760000818298
23,2008-06,174.935007869333
24,2008-07,173.142979412944
25,2008-08,172.31914328292598
26,2008-09,168.710331270516
27,2008-10,164.020029046778
28,2008-11,159.87239563864202
29,2008-12,155.749513298022
30,2009-01,150.525561604037
31,2009-02,147.491582943651
32,2009-03,144.104215251328
33,2009-04,142.43404771572398
34,2009-05,140.982977591964
35,2009-06,140.391151707358
36,2009-07,140.861344831283
37,2009-08,141.410545279002
38,2009-09,140.304034674381
39,2009-10,139.057926266413
40,2009-11,139.029038452649
41,2009-12,138.88174296245398
42,2010-01,139.663471673538
43,2010-02,138.908215081219
44,2010-03,139.08712896639798
45,2010-04,138.988268375
46,2010-05,138.786099233766
47,2010-06,137.695345128158
48,2010-07,136.036885377621
49,2010-08,135.378692895642
50,2010-09,134.349484483206
51,2010-10,133.840112677039
52,2010-11,133.179005230333
53,2010-12,130.993085308598
54,2011-01,130.539247676372
55,2011-02,130.045308538181
56,2011-03,129.023680854286
57,2011-04,127.978467830494
58,2011-05,127.287507782172
59,2011-06,127.402130531557
60,2011-07,127.347986003228
61,2011-08,127.437911195332
62,2011-09,125.550050502489
63,2011-10,125.788804507946
64,2011-11,125.218609867551
65,2011-12,125.622257599268
66,2012-01,125.629893944277
