s_no,DATE,TPXRSA
0,2012-02-01,126.265187419185
1,2012-03-01,127.055604327444
2,2012-04-01,128.918919045785
3,2012-05-01,130.370998131079
4,2012-06-01,131.67243907897802
5,2012-07-01,132.194234645292
6,2012-08-01,132.94338817944902
7,2012-09-01,133.162182362897
8,2012-10-01,133.322163023202
9,2012-11-01,133.866261578272
10,2012-12-01,134.677700654945
11,2013-01-01,137.045708850348
12,2013-02-01,138.694603105282
13,2013-03-01,141.501604319463
14,2013-04-01,143.177840153314
15,2013-05-01,144.440838471719
16,2013-06-01,146.483428977447
17,2013-07-01,149.114829084862
18,2013-08-01,152.073848822446
19,2013-09-01,152.928031225936
20,2013-10-01,153.776006834023
21,2013-11-01,154.908177056809
22,2013-12-01,155.885777581108
23,2014-01-01,157.26617487163298
24,2014-02-01,156.876613882696
25,2014-03-01,156.177800976024
26,2014-04-01,157.373259593567
27,2014-05-01,158.95470041715902
28,2014-06-01,159.997789685076
29,2014-07-01,160.271669943676
30,2014-08-01,160.809583057781
31,2014-09-01,161.592400291719
32,2014-10-01,163.26827721093
33,2014-11-01,165.17616352028
34,2014-12-01,165.554106027373
35,2015-01-01,165.871826026609
36,2015-02-01,166.845278842515
37,2015-03-01,168.198323143057
38,2015-04-01,168.68188663766702
39,2015-05-01,168.914337339521
40,2015-06-01,168.945341682144
41,2015-07-01,169.909023710615
42,2015-08-01,171.041287827591
43,2015-09-01,172.30462898013303
44,2015-10-01,173.710282672146
45,2015-11-01,174.89737939667302
46,2015-12-01,176.676704667098
47,2016-01-01,177.79124754921398
48,2016-02-01,179.30300157222302
49,2016-03-01,180.236061157806
50,2016-04-01,181.273017022201
51,2016-05-01,181.90654800154095
52,2016-06-01,182.512908603795
53,2016-07-01,183.236248053058
54,2016-08-01,184.327026944003
55,2016-09-01,185.48524593965
56,2016-10-01,187.299577218301
57,2016-11-01,188.81726327013504
58,2016-12-01,191.25350939487095
59,2017-01-01,192.060683195694
60,2017-02-01,192.153086601619
61,2017-03-01,192.12507582776905
62,2017-04-01,193.189922114127
63,2017-05-01,194.801826558185
64,2017-06-01,195.522279042804
65,2017-07-01,196.563349556026
66,2017-08-01,197.21897219226895
67,2017-09-01,198.967739974566
68,2017-10-01,200.019704830141
69,2017-11-01,201.951158285587
70,2017-12-01,203.031634474329
71,2018-01-01,204.657133527649
72,2018-02-01,205.50370860664
73,2018-03-01,206.360035186092
74,2018-04-01,206.930658770435
75,2018-05-01,207.719887290642
76,2018-06-01,209.177865621667
77,2018-07-01,210.207984466372
78,2018-08-01,211.300942920741
79,2018-09-01,212.294247209586
80,2018-10-01,212.69373263858003
81,2018-11-01,213.223584580285
82,2018-12-01,213.581029773237
83,2019-01-01,214.847100302294
84,2019-02-01,216.416826900776
85,2019-03-01,217.150359503182
86,2019-04-01,218.327037404221
87,2019-05-01,218.525424934572
88,2019-06-01,219.14463902584703
89,2019-07-01,219.792752851008
90,2019-08-01,220.570417940614
91,2019-09-01,221.705188107166
92,2019-10-01,222.92313866204103
93,2019-11-01,223.79606296101505
94,2019-12-01,224.72457859627
95,2020-01-01,225.430479083794
96,2020-02-01,227.02634156243
97,2020-03-01,229.16505202429295
98,2020-04-01,230.736072439006
99,2020-05-01,231.45046523518505
100,2020-06-01,231.832692225191
101,2020-07-01,232.8000241461
102,2020-08-01,235.632917814379
103,2020-09-01,238.22681998487
104,2020-10-01,241.91043321784
105,2020-11-01,245.020717113294
106,2020-12-01,248.775518293955
