ZILLOW ID,PROPERTY URL,LIVING AREA,BEDROOMS,BATHROOMS,FLOORS,YEAR BUILT,CONDITION,CITY,STATE,ZIPCODE,STREET ADDRESS,ADDRESS,VIEW,LOCATION,MONTHLY HOUSING PRICE,RENT,PROPERTY TYPE,CONSTRUCTION,TAX DATE,TAX PAID,HOUSE VALUE
54036395,https://www.zillow.com/homedetails/27509-Breakers-Dr-Zephyrhills-FL-33544/54036395_zpid/,2938,6,3,,1999,1999,Zephyrhills,FL,33544,27509 Breakers Dr,"27509 Breakers Dr, Zephyrhills, FL 33544",--,Northwood,2700,2700,SINGLE_FAMILY,,2/10/2000,,137251
54036395,https://www.zillow.com/homedetails/27509-Breakers-Dr-Zephyrhills-FL-33544/54036395_zpid/,2938,6,3,,1999,1999,Zephyrhills,FL,33544,27509 Breakers Dr,"27509 Breakers Dr, Zephyrhills, FL 33544",--,Northwood,2700,2700,SINGLE_FAMILY,,2/10/1999,,133398
44985693,https://www.zillow.com/homedetails/1555-Scotch-Pine-Dr-Brandon-FL-33511/44985693_zpid/,1742,3,2,,1996,1996,Brandon,FL,33511,1555 Scotch Pine Dr,"1555 Scotch Pine Dr, Brandon, FL 33511",--,--,2920,2920,SINGLE_FAMILY,masonry,2/10/2020,3663.97,179608
44985693,https://www.zillow.com/homedetails/1555-Scotch-Pine-Dr-Brandon-FL-33511/44985693_zpid/,1742,3,2,,1996,1996,Brandon,FL,33511,1555 Scotch Pine Dr,"1555 Scotch Pine Dr, Brandon, FL 33511",--,--,2920,2920,SINGLE_FAMILY,masonry,2/10/2019,3464.61,169900
44985693,https://www.zillow.com/homedetails/1555-Scotch-Pine-Dr-Brandon-FL-33511/44985693_zpid/,1742,3,2,,1996,1996,Brandon,FL,33511,1555 Scotch Pine Dr,"1555 Scotch Pine Dr, Brandon, FL 33511",--,--,2920,2920,SINGLE_FAMILY,masonry,2/10/2018,3464.61,97927
44985693,https://www.zillow.com/homedetails/1555-Scotch-Pine-Dr-Brandon-FL-33511/44985693_zpid/,1742,3,2,,1996,1996,Brandon,FL,33511,1555 Scotch Pine Dr,"1555 Scotch Pine Dr, Brandon, FL 33511",--,--,2920,2920,SINGLE_FAMILY,masonry,2/10/2017,1377.37,133877
44985693,https://www.zillow.com/homedetails/1555-Scotch-Pine-Dr-Brandon-FL-33511/44985693_zpid/,1742,3,2,,1996,1996,Brandon,FL,33511,1555 Scotch Pine Dr,"1555 Scotch Pine Dr, Brandon, FL 33511",--,--,2920,2920,SINGLE_FAMILY,masonry,2/10/2016,1348.47,93940
44985693,https://www.zillow.com/homedetails/1555-Scotch-Pine-Dr-Brandon-FL-33511/44985693_zpid/,1742,3,2,,1996,1996,Brandon,FL,33511,1555 Scotch Pine Dr,"1555 Scotch Pine Dr, Brandon, FL 33511",--,--,2920,2920,SINGLE_FAMILY,masonry,2/10/2015,1314.18,93287
44985693,https://www.zillow.com/homedetails/1555-Scotch-Pine-Dr-Brandon-FL-33511/44985693_zpid/,1742,3,2,,1996,1996,Brandon,FL,33511,1555 Scotch Pine Dr,"1555 Scotch Pine Dr, Brandon, FL 33511",--,--,2920,2920,SINGLE_FAMILY,masonry,2/10/2014,1302.15,92547
44985693,https://www.zillow.com/homedetails/1555-Scotch-Pine-Dr-Brandon-FL-33511/44985693_zpid/,1742,3,2,,1996,1996,Brandon,FL,33511,1555 Scotch Pine Dr,"1555 Scotch Pine Dr, Brandon, FL 33511",--,--,2920,2920,SINGLE_FAMILY,masonry,2/10/2013,1302.15,91179
44985693,https://www.zillow.com/homedetails/1555-Scotch-Pine-Dr-Brandon-FL-33511/44985693_zpid/,1742,3,2,,1996,1996,Brandon,FL,33511,1555 Scotch Pine Dr,"1555 Scotch Pine Dr, Brandon, FL 33511",--,--,2920,2920,SINGLE_FAMILY,masonry,2/10/2012,1291.44,89655
44985693,https://www.zillow.com/homedetails/1555-Scotch-Pine-Dr-Brandon-FL-33511/44985693_zpid/,1742,3,2,,1996,1996,Brandon,FL,33511,1555 Scotch Pine Dr,"1555 Scotch Pine Dr, Brandon, FL 33511",--,--,2920,2920,SINGLE_FAMILY,masonry,2/10/2011,1403.23,95048
44985693,https://www.zillow.com/homedetails/1555-Scotch-Pine-Dr-Brandon-FL-33511/44985693_zpid/,1742,3,2,,1996,1996,Brandon,FL,33511,1555 Scotch Pine Dr,"1555 Scotch Pine Dr, Brandon, FL 33511",--,--,2920,2920,SINGLE_FAMILY,masonry,2/10/2010,1680.52,109578
