"BEDROOMS","BATHROOMS","YEAR BUILT","CITY","ZIPCODE","STREET ADDRESS","RENT","PROPERTY TYPE","TAX PAID","HOUSE VALUE"
"4","5","2000","Tarpon Springs","34689","1661 Seabreeze Dr","8895","SINGLE_FAMILY","17470.67","801778"
"4","5","2000","Tarpon Springs","34689","1661 Seabreeze Dr","8895","SINGLE_FAMILY","16480","774721"
"4","5","2000","Tarpon Springs","34689","1661 Seabreeze Dr","8895","SINGLE_FAMILY","16079.4","835792"
"4","5","2000","Tarpon Springs","34689","1661 Seabreeze Dr","8895","SINGLE_FAMILY","15983.1","777800"
"4","5","2000","Tarpon Springs","34689","1661 Seabreeze Dr","8895","SINGLE_FAMILY","15756.9","732300"
"4","5","2000","Tarpon Springs","34689","1661 Seabreeze Dr","8895","SINGLE_FAMILY","14154.9","659500"
"4","5","2000","Tarpon Springs","34689","1661 Seabreeze Dr","8895","SINGLE_FAMILY","14154.9","628000"
"4","5","2000","Tarpon Springs","34689","1661 Seabreeze Dr","8895","SINGLE_FAMILY","4807.97","214300"
"2","1","1925","Saint Petersburg","33713","2010 3rd Ave N","2595","SINGLE_FAMILY","3437.8","406462"
"2","1","1925","Saint Petersburg","33713","2010 3rd Ave N","2595","SINGLE_FAMILY","3369.3","198662"
"2","1","1925","Saint Petersburg","33713","2010 3rd Ave N","2595","SINGLE_FAMILY","3369.3","194958"
"2","1","1925","Saint Petersburg","33713","2010 3rd Ave N","2595","SINGLE_FAMILY","3315.99","185778"
"2","1","1925","Saint Petersburg","33713","2010 3rd Ave N","2595","SINGLE_FAMILY","3455.4","154802"
"2","1","1925","Saint Petersburg","33713","2010 3rd Ave N","2595","SINGLE_FAMILY","1753.53","118428"
"2","1","1925","Saint Petersburg","33713","2010 3rd Ave N","2595","SINGLE_FAMILY","1739.81","117488"
"2","1","1925","Saint Petersburg","33713","2010 3rd Ave N","2595","SINGLE_FAMILY","1721.01","115752"
"2","1","1925","Saint Petersburg","33713","2010 3rd Ave N","2595","SINGLE_FAMILY","1686.12","114012"
"2","1","1925","Saint Petersburg","33713","2010 3rd Ave N","2595","SINGLE_FAMILY","3086.39","183900"
"2","1","1925","Saint Petersburg","33713","2010 3rd Ave N","2595","SINGLE_FAMILY","2727.18","112200"
"2","1","1925","Saint Petersburg","33713","2010 3rd Ave N","2595","SINGLE_FAMILY","1873.18","76700"
"2","1","1925","Saint Petersburg","33713","2010 3rd Ave N","2595","SINGLE_FAMILY","173.14","73400"
"2","1","1925","Saint Petersburg","33713","2010 3rd Ave N","2595","SINGLE_FAMILY","173.14","48900"
"2","1","1925","Saint Petersburg","33713","2010 3rd Ave N","2595","SINGLE_FAMILY","151.16","47700"
"4","3","2011","Land O Lakes","34638","3819 Tristram Loop","2750","SINGLE_FAMILY","6241","232211"
"4","3","2011","Land O Lakes","34638","3819 Tristram Loop","2750","SINGLE_FAMILY","6263.87","231594"
"4","3","2011","Land O Lakes","34638","3819 Tristram Loop","2750","SINGLE_FAMILY","6263.87","239095"
"4","3","2011","Land O Lakes","34638","3819 Tristram Loop","2750","SINGLE_FAMILY","6392.83","206594"
"4","3","2011","Land O Lakes","34638","3819 Tristram Loop","2750","SINGLE_FAMILY","5200.64","198183"
"4","3","2011","Land O Lakes","34638","3819 Tristram Loop","2750","SINGLE_FAMILY","4279.03","196805"
"4","3","2011","Land O Lakes","34638","3819 Tristram Loop","2750","SINGLE_FAMILY","4201.6","204318"
"4","2","2001","Valrico","33594","609 Sunset Beach Ct","2900","SINGLE_FAMILY","3437.44","148170"
"4","2","2001","Valrico","33594","609 Sunset Beach Ct","2900","SINGLE_FAMILY","3312.33","142851"
"4","2","2001","Valrico","33594","609 Sunset Beach Ct","2900","SINGLE_FAMILY","3312.33","154981"
"4","2","2001","Valrico","33594","609 Sunset Beach Ct","2900","SINGLE_FAMILY","3459.49","135980"
"4","2","2001","Valrico","33594","609 Sunset Beach Ct","2900","SINGLE_FAMILY","3200.53","120130"
"4","2","2001","Valrico","33594","609 Sunset Beach Ct","2900","SINGLE_FAMILY","2959.94","113182"
"4","2","2001","Valrico","33594","609 Sunset Beach Ct","2900","SINGLE_FAMILY","2709.14","102096"
"4","2","2001","Valrico","33594","609 Sunset Beach Ct","2900","SINGLE_FAMILY","2709.14","92815"
"4","2","2001","Valrico","33594","609 Sunset Beach Ct","2900","SINGLE_FAMILY","2362.09","84377"
"4","2","2001","Valrico","33594","609 Sunset Beach Ct","2900","SINGLE_FAMILY","2449.47","88513"
"4","2","2001","Valrico","33594","609 Sunset Beach Ct","2900","SINGLE_FAMILY","2679.73","100630"
"4","2","2001","Valrico","33594","609 Sunset Beach Ct","2900","SINGLE_FAMILY","2956.58","114199"
"4","2","2001","Valrico","33594","609 Sunset Beach Ct","2900","SINGLE_FAMILY","3773.86","154596"
"4","2","2001","Valrico","33594","609 Sunset Beach Ct","2900","SINGLE_FAMILY","4367.69","186945"
"4","2","2001","Valrico","33594","609 Sunset Beach Ct","2900","SINGLE_FAMILY","2734.33","122155"
"4","2","2001","Valrico","33594","609 Sunset Beach Ct","2900","SINGLE_FAMILY","2726.31","118597"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","3097.71","148223"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","2997.95","144291"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","2997.95","134233"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","2783.86","119575"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","2564.57","116244"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","2522.03","110816"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","2204.64","97983"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","2204.64","75889"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","992.25","74620"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","1111.03","80620"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","1431.83","97207"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","1475.09","99397"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","1466.39","99298"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","1687.28","96406"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","1752.21","94055"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","1741.73","91316"
"3","2","1995","Apollo Beach","33572","219 Lookout Dr","2840","SINGLE_FAMILY","1574.47","74936"
"4","3","2006","Zephyrhills","33543","1036 Millebourne Way","2745","SINGLE_FAMILY","5798.82","237023"
"4","3","2006","Zephyrhills","33543","1036 Millebourne Way","2745","SINGLE_FAMILY","5803.25","235209"
"4","3","2006","Zephyrhills","33543","1036 Millebourne Way","2745","SINGLE_FAMILY","5803.25","229241"
"4","3","2006","Zephyrhills","33543","1036 Millebourne Way","2745","SINGLE_FAMILY","5714.37","233287"
"4","3","2006","Zephyrhills","33543","1036 Millebourne Way","2745","SINGLE_FAMILY","5813.46","213818"
"4","3","2006","Zephyrhills","33543","1036 Millebourne Way","2745","SINGLE_FAMILY","5089.49","203942"
"4","3","2006","Zephyrhills","33543","1036 Millebourne Way","2745","SINGLE_FAMILY","4882.52","195711"
"4","3","1987","Tampa","33612","1345 Eckles Dr","2755","SINGLE_FAMILY","3756.35","184184"
"4","3","1987","Tampa","33612","1345 Eckles Dr","2755","SINGLE_FAMILY","3705.44","180332"
"4","3","1987","Tampa","33612","1345 Eckles Dr","2755","SINGLE_FAMILY","3705.44","179743"
"4","3","1987","Tampa","33612","1345 Eckles Dr","2755","SINGLE_FAMILY","3563.98","120432"
"4","3","1987","Tampa","33612","1345 Eckles Dr","2755","SINGLE_FAMILY","2557.49","128162"
"4","3","1987","Tampa","33612","1345 Eckles Dr","2755","SINGLE_FAMILY","2695.17","116545"
"4","3","1987","Tampa","33612","1345 Eckles Dr","2755","SINGLE_FAMILY","2749.93","130351"
"4","3","1987","Tampa","33612","1345 Eckles Dr","2755","SINGLE_FAMILY","2749.93","103871"
"4","3","1987","Tampa","33612","1345 Eckles Dr","2755","SINGLE_FAMILY","1356.1","102135"
"4","3","1987","Tampa","33612","1345 Eckles Dr","2755","SINGLE_FAMILY","1635.02","114911"
"4","3","1987","Tampa","33612","1345 Eckles Dr","2755","SINGLE_FAMILY","1826.38","124622"
"4","3","1987","Tampa","33612","1345 Eckles Dr","2755","SINGLE_FAMILY","1860.9","125670"
"4","3","1987","Tampa","33612","1345 Eckles Dr","2755","SINGLE_FAMILY","2527.62","155975"
"4","3","1987","Tampa","33612","1345 Eckles Dr","2755","SINGLE_FAMILY","2722.05","150219"
"4","3","1987","Tampa","33612","1345 Eckles Dr","2755","SINGLE_FAMILY","2858","142286"
"4","3","1987","Tampa","33612","1345 Eckles Dr","2755","SINGLE_FAMILY","1425.95","86562"
"4","2","2015","Wimauma","33598","10614 Aldo Moro Dr","2649","SINGLE_FAMILY","6462.92","187518"
"4","2","2015","Wimauma","33598","10614 Aldo Moro Dr","2649","SINGLE_FAMILY","6577.66","190917"
"4","2","2015","Wimauma","33598","10614 Aldo Moro Dr","2649","SINGLE_FAMILY","6577.66","186101"
"4","2","2015","Wimauma","33598","10614 Aldo Moro Dr","2649","SINGLE_FAMILY","6366.19","167909"
"4","2","2015","Wimauma","33598","10614 Aldo Moro Dr","2649","SINGLE_FAMILY","5702.87","168552"
"4","2","2015","Wimauma","33598","10614 Aldo Moro Dr","2649","SINGLE_FAMILY","5804.07","167579"
"4","2","2015","Wimauma","33598","10614 Aldo Moro Dr","2649","SINGLE_FAMILY","1044.1","38357"
"4","2.5","2005","Riverview","33569","13605 Botany Bay Ct","2720","SINGLE_FAMILY","4659.55","208702"
"4","2.5","2005","Riverview","33569","13605 Botany Bay Ct","2720","SINGLE_FAMILY","4415.71","196265"
"4","2.5","2005","Riverview","33569","13605 Botany Bay Ct","2720","SINGLE_FAMILY","4415.71","118087"
"4","2.5","2005","Riverview","33569","13605 Botany Bay Ct","2720","SINGLE_FAMILY","2221.7","171793"
"4","2.5","2005","Riverview","33569","13605 Botany Bay Ct","2720","SINGLE_FAMILY","2189.34","113279"
"4","2.5","2005","Riverview","33569","13605 Botany Bay Ct","2720","SINGLE_FAMILY","2130.73","112492"
"4","2.5","2005","Riverview","33569","13605 Botany Bay Ct","2720","SINGLE_FAMILY","2122.79","111599"
"4","2.5","2005","Riverview","33569","13605 Botany Bay Ct","2720","SINGLE_FAMILY","2122.79","109950"
"4","2.5","2005","Riverview","33569","13605 Botany Bay Ct","2720","SINGLE_FAMILY","2111.78","108112"
"4","2.5","2005","Riverview","33569","13605 Botany Bay Ct","2720","SINGLE_FAMILY","2189.95","111805"
"4","2.5","2005","Riverview","33569","13605 Botany Bay Ct","2720","SINGLE_FAMILY","2384.03","122322"
"4","2.5","2005","Riverview","33569","13605 Botany Bay Ct","2720","SINGLE_FAMILY","2884.28","146975"
"4","2.5","2005","Riverview","33569","13605 Botany Bay Ct","2720","SINGLE_FAMILY","3689.11","186730"
"4","2.5","2005","Riverview","33569","13605 Botany Bay Ct","2720","SINGLE_FAMILY","4693.12","224005"
"4","2.5","2005","Riverview","33569","13605 Botany Bay Ct","2720","SINGLE_FAMILY","4939.19","218541"
"4","2.5","2005","Riverview","33569","13605 Botany Bay Ct","2720","SINGLE_FAMILY","1608.29","37847"
"5","2.5","1989","Pinellas Park","33781","7886 63rd Way N","2999","SINGLE_FAMILY","6097.82","554628"
"5","2.5","1989","Pinellas Park","33781","7886 63rd Way N","2999","SINGLE_FAMILY","5615.03","253397"
"5","2.5","1989","Pinellas Park","33781","7886 63rd Way N","2999","SINGLE_FAMILY","5615.03","245776"
"5","2.5","1989","Pinellas Park","33781","7886 63rd Way N","2999","SINGLE_FAMILY","5485.07","140840"
"5","2.5","1989","Pinellas Park","33781","7886 63rd Way N","2999","SINGLE_FAMILY","2198.9","137943"
"5","2.5","1989","Pinellas Park","33781","7886 63rd Way N","2999","SINGLE_FAMILY","2235.76","136984"
"5","2.5","1989","Pinellas Park","33781","7886 63rd Way N","2999","SINGLE_FAMILY","2219.58","135897"
"5","2.5","1989","Pinellas Park","33781","7886 63rd Way N","2999","SINGLE_FAMILY","2197.49","133889"
"5","2.5","1989","Pinellas Park","33781","7886 63rd Way N","2999","SINGLE_FAMILY","2389.39","142601"
"5","2.5","1989","Pinellas Park","33781","7886 63rd Way N","2999","SINGLE_FAMILY","3839.22","209981"
"5","2.5","1989","Pinellas Park","33781","7886 63rd Way N","2999","SINGLE_FAMILY","4110.47","187500"
"5","2.5","1989","Pinellas Park","33781","7886 63rd Way N","2999","SINGLE_FAMILY","4192.8","165000"
"5","2.5","1989","Pinellas Park","33781","7886 63rd Way N","2999","SINGLE_FAMILY","3581.4","158500"
"5","2.5","1989","Pinellas Park","33781","7886 63rd Way N","2999","SINGLE_FAMILY","3581.4","139500"
"5","2.5","1989","Pinellas Park","33781","7886 63rd Way N","2999","SINGLE_FAMILY","3272.84","128000"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","15683.73","827183"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","15872.97","832360"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","15872.97","773687"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","15004.18","816699"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","15970.62","775920"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","15461.52","723415"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","14502.83","708007"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","14502.83","693278"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","13393.3","631130"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","12924.4","606646"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","12511.6","590261"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","14454","682987"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","15089","711871"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","10808.1","533445"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","11494.2","520434"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","11520.8","505276"
"5","5","1989","Tampa","33558","18605 Avenue Monaco","9895","SINGLE_FAMILY","11998.8","516261"
"2","2","1977","Saint Petersburg","33711","7432 Sunshine Skyway Ln S APT 501","3800","APARTMENT","4341.25","405976"
"2","2","1977","Saint Petersburg","33711","7432 Sunshine Skyway Ln S APT 501","3800","APARTMENT","1621.88","117602"
"2","2","1977","Saint Petersburg","33711","7432 Sunshine Skyway Ln S APT 501","3800","APARTMENT","1621.88","115409"
"2","2","1977","Saint Petersburg","33711","7432 Sunshine Skyway Ln S APT 501","3800","APARTMENT","1588.56","113035"
"2","2","1977","Saint Petersburg","33711","7432 Sunshine Skyway Ln S APT 501","3800","APARTMENT","1538.08","110710"
"2","2","1977","Saint Petersburg","33711","7432 Sunshine Skyway Ln S APT 501","3800","APARTMENT","1560.1","109940"
"2","2","1977","Saint Petersburg","33711","7432 Sunshine Skyway Ln S APT 501","3800","APARTMENT","1547.18","109067"
"2","2","1977","Saint Petersburg","33711","7432 Sunshine Skyway Ln S APT 501","3800","APARTMENT","1529.28","107455"
"2","2","1977","Saint Petersburg","33711","7432 Sunshine Skyway Ln S APT 501","3800","APARTMENT","1493.2","105659"
"2","2","1977","Saint Petersburg","33711","7432 Sunshine Skyway Ln S APT 501","3800","APARTMENT","1401.52","105698"
"2","2","1977","Saint Petersburg","33711","7432 Sunshine Skyway Ln S APT 501","3800","APARTMENT","1686.86","149900"
"2","2","1977","Saint Petersburg","33711","7432 Sunshine Skyway Ln S APT 501","3800","APARTMENT","1653.38","96000"
"2","2","1977","Saint Petersburg","33711","7432 Sunshine Skyway Ln S APT 501","3800","APARTMENT","2139.52","90600"
"2","2","1977","Saint Petersburg","33711","7432 Sunshine Skyway Ln S APT 501","3800","APARTMENT","2139.52","86500"
"2","2","1977","Saint Petersburg","33711","7432 Sunshine Skyway Ln S APT 501","3800","APARTMENT","1947.76","78600"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","7906.28","357722"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","6309.77","349679"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","6309.77","343159"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","6259.09","340350"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","6166.09","329188"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","5983.76","269150"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","7162.5","322980"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","7162.5","293618"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","5810.25","266925"
