DATE,QTAXTOTALQTAXCAT3FLNO
2002-01-01,6635
2002-04-01,6605
2002-07-01,6031
2002-10-01,6720
2003-01-01,6744
2003-04-01,7411
2003-07-01,7255
2003-10-01,7267
2004-01-01,7888
2004-04-01,8059
2004-07-01,7983
2004-10-01,8065
2005-01-01,9399
2005-04-01,10249
2005-07-01,9425
2005-10-01,9438
2006-01-01,10244
2006-04-01,10796
2006-07-01,9348
2006-10-01,9478
2007-01-01,9802
2007-04-01,10197
2007-07-01,8158
2007-10-01,8829
2008-01-01,8915
2008-04-01,9354
2008-07-01,8022
2008-10-01,7829
2009-01-01,7894
2009-04-01,8228
2009-07-01,7533
2009-10-01,7542
2010-01-01,7886
2010-04-01,8568
2010-07-01,7584
2010-10-01,7862
2011-01-01,8254
2011-04-01,8940
2011-07-01,7730
2011-10-01,7991
2012-01-01,8672
2012-04-01,9353
2012-07-01,8289
2012-10-01,8544
2013-01-01,9223
2013-04-01,9994
2013-07-01,8914
2013-10-01,9177
2014-01-01,9120
2014-04-01,10171
2014-07-01,8999
2014-10-01,9345
2015-01-01,9594
2015-04-01,10432
2015-07-01,9064
2015-10-01,9331
2016-01-01,10018
2016-04-01,10646
2016-07-01,9895
2016-10-01,9846
2017-01-01,10450
2017-04-01,10932
2017-07-01,10727
2017-10-01,11147
2018-01-01,10978
2018-04-01,11754
2018-07-01,10764
2018-10-01,10924
2019-01-01,11257
2019-04-01,12843
2019-07-01,11196
2019-10-01,11247
2020-01-01,11734
2020-04-01,9857
2020-07-01,10863
2020-10-01,11592
2021-01-01,12120
2021-04-01,14969
2021-07-01,13715
2021-10-01,14161
