DATE,COMPUTSA
2002-01-01,1632
2002-02-01,1671
2002-03-01,1559
2002-04-01,1625
2002-05-01,1705
2002-06-01,1589
2002-07-01,1615
2002-08-01,1722
2002-09-01,1641
2002-10-01,1601
2002-11-01,1718
2002-12-01,1671
2003-01-01,1654
2003-02-01,1688
2003-03-01,1638
2003-04-01,1662
2003-05-01,1733
2003-06-01,1641
2003-07-01,1680
2003-08-01,1570
2003-09-01,1719
2003-10-01,1728
2003-11-01,1692
2003-12-01,1716
2004-01-01,1709
2004-02-01,1718
2004-03-01,1794
2004-04-01,1938
2004-05-01,1893
2004-06-01,1857
2004-07-01,1881
2004-08-01,1911
2004-09-01,1796
2004-10-01,1839
2004-11-01,1758
2004-12-01,1921
2005-01-01,1892
2005-02-01,1908
2005-03-01,1787
2005-04-01,1927
2005-05-01,2103
2005-06-01,1965
2005-07-01,1886
2005-08-01,1952
2005-09-01,1922
2005-10-01,1962
2005-11-01,1907
2005-12-01,1941
2006-01-01,2036
2006-02-01,2048
2006-03-01,2245
2006-04-01,2071
2006-05-01,1897
2006-06-01,2050
2006-07-01,1934
2006-08-01,1877
2006-09-01,2011
2006-10-01,1918
2006-11-01,1893
2006-12-01,1888
2007-01-01,1822
2007-02-01,1640
2007-03-01,1623
2007-04-01,1539
2007-05-01,1536
2007-06-01,1481
2007-07-01,1534
2007-08-01,1512
2007-09-01,1356
2007-10-01,1405
2007-11-01,1390
2007-12-01,1328
2008-01-01,1331
2008-02-01,1274
2008-03-01,1195
2008-04-01,1022
2008-05-01,1142
2008-06-01,1142
2008-07-01,1087
2008-08-01,1017
2008-09-01,1160
2008-10-01,1055
2008-11-01,1076
2008-12-01,1021
2009-01-01,777
2009-02-01,819
2009-03-01,839
2009-04-01,846
2009-05-01,818
2009-06-01,797
2009-07-01,797
2009-08-01,792
2009-09-01,721
2009-10-01,746
2009-11-01,844
2009-12-01,750
2010-01-01,689
2010-02-01,670
2010-03-01,635
2010-04-01,737
2010-05-01,702
2010-06-01,894
2010-07-01,572
2010-08-01,592
2010-09-01,632
2010-10-01,605
2010-11-01,552
2010-12-01,565
2011-01-01,520
2011-02-01,615
2011-03-01,591
2011-04-01,549
2011-05-01,549
2011-06-01,579
2011-07-01,634
2011-08-01,614
2011-09-01,603
2011-10-01,566
2011-11-01,585
2011-12-01,610
2012-01-01,545
2012-02-01,561
2012-03-01,582
2012-04-01,671
2012-05-01,626
2012-06-01,625
2012-07-01,676
2012-08-01,684
2012-09-01,652
2012-10-01,730
2012-11-01,668
2012-12-01,677
2013-01-01,714.0
2013-02-01,729.0
2013-03-01,816.0
2013-04-01,712.0
2013-05-01,708.0
2013-06-01,736.0
2013-07-01,784.0
2013-08-01,765.0
2013-09-01,776.0
2013-10-01,801.0
2013-11-01,839.0
2013-12-01,778.0
2014-01-01,838.0
2014-02-01,876.0
2014-03-01,893.0
2014-04-01,834.0
2014-05-01,891.0
2014-06-01,800.0
2014-07-01,839.0
2014-08-01,908.0
2014-09-01,975.0
2014-10-01,920.0
2014-11-01,863.0
2014-12-01,955.0
2015-01-01,954.0
2015-02-01,863.0
2015-03-01,781.0
2015-04-01,1001.0
2015-05-01,1012.0
2015-06-01,962.0
2015-07-01,988.0
2015-08-01,974.0
2015-09-01,1040.0
2015-10-01,985.0
2015-11-01,1000.0
2015-12-01,1023.0
2016-01-01,1056.0
2016-02-01,1037.0
2016-03-01,1003.0
2016-04-01,945.0
2016-05-01,1000.0
2016-06-01,1109.0
2016-07-01,1072.0
2016-08-01,1054.0
2016-09-01,1035.0
2016-10-01,1070.0
2016-11-01,1244.0
2016-12-01,1101.0
2017-01-01,1073.0
2017-02-01,1152.0
2017-03-01,1162.0
2017-04-01,1066.0
2017-05-01,1170.0
2017-06-01,1238.0
2017-07-01,1174.0
2017-08-01,1100.0
2017-09-01,1108.0
2017-10-01,1191.0
2017-11-01,1180.0
2017-12-01,1203.0
2018-01-01,1204.0
2018-02-01,1290.0
2018-03-01,1189.0
2018-04-01,1213.0
2018-05-01,1263.0
2018-06-01,1216.0
2018-07-01,1169.0
2018-08-01,1246.0
2018-09-01,1174.0
2018-10-01,1116.0
2018-11-01,1142.0
2018-12-01,1052.0
2019-01-01,1246.0
2019-02-01,1337.0
2019-03-01,1316.0
2019-04-01,1312.0
2019-05-01,1235.0
2019-06-01,1170.0
2019-07-01,1242.0
2019-08-01,1272.0
2019-09-01,1136.0
2019-10-01,1279.0
2019-11-01,1252.0
2019-12-01,1308.0
2020-01-01,1288.0
2020-02-01,1294.0
2020-03-01,1267.0
2020-04-01,1191.0
2020-05-01,1178.0
2020-06-01,1243.0
2020-07-01,1340.0
2020-08-01,1216.0
2020-09-01,1426.0
2020-10-01,1356.0
2020-11-01,1244.0
2020-12-01,1386.0
2021-01-01,1328.0
2021-02-01,1347.0
2021-03-01,1497.0
2021-04-01,1417.0
2021-05-01,1350.0
2021-06-01,1312.0
2021-07-01,1380.0
2021-08-01,1291.0
2021-09-01,1235.0
2021-10-01,1255.0
2021-11-01,1404.0
2021-12-01,1333.0
2022-01-01,1236.0
2022-02-01,1309.0
