DATE,FLPCPI
2002-01-01,30810.0
2003-01-01,31785.0
2004-01-01,33778.0
2005-01-01,35999.0
2006-01-01,38386.0
2007-01-01,39594.0
2008-01-01,39401.0
2009-01-01,36818.0
2010-01-01,38872.0
2011-01-01,40517.0
2012-01-01,41540.0
2013-01-01,41162.0
2014-01-01,43516.0
2015-01-01,45659.0
2016-01-01,46454.0
2017-01-01,49020.0
2018-01-01,51444.0
2019-01-01,53375.0
2020-01-01,56096.0
2021-01-01,60761.0
