DATE,ATNHPIUS45300Q
2002-01-31,152.66903225806453
2002-02-28,154.03761904761905
2002-03-31,155.4156989247312
2002-04-30,156.7778888888889
2002-05-31,158.14268817204302
2002-06-30,159.50455555555556
2002-07-31,160.46612903225807
2002-08-31,161.41279569892473
2002-09-30,162.35844444444444
2002-10-31,163.30935483870968
2002-11-30,164.25833333333333
2002-12-31,165.2093548387097
2003-01-31,166.15935483870967
2003-02-28,167.10607142857143
2003-03-31,168.05935483870968
2003-04-30,169.4562222222222
2003-05-31,170.87107526881724
2003-06-30,172.2828888888889
2003-07-31,174.59129032258068
2003-08-31,176.92795698924732
2003-09-30,179.26211111111112
2003-10-31,180.95612903225805
2003-11-30,182.62433333333334
2003-12-31,184.29612903225805
2004-01-31,186.9725806451613
2004-02-29,189.67655172413794
2004-03-31,192.39258064516127
2004-04-30,195.92455555555551
2004-05-31,199.49172043010748
2004-06-30,203.0512222222222
2004-07-31,205.8183870967742
2004-08-31,208.5550537634408
2004-09-30,211.28877777777777
2004-10-31,214.4090322580645
2004-11-30,217.53566666666666
2004-12-31,220.66903225806453
2005-01-31,225.52161290322582
2005-02-28,230.41464285714287
2005-03-31,235.3416129032258
2005-04-30,240.32688888888887
2005-05-31,245.32559139784945
2005-06-30,250.31355555555555
2005-07-31,255.58322580645162
2005-08-31,260.8565591397849
2005-09-30,266.1242222222222
2005-10-31,270.02580645161294
2005-11-30,273.87166666666667
2005-12-31,277.7258064516129
2006-01-31,280.11451612903227
2006-02-28,282.4464285714286
2006-03-31,284.7945161290323
2006-04-30,285.77866666666665
2006-05-31,286.71967741935487
2006-06-30,287.65866666666665
2006-07-31,288.46419354838713
2006-08-31,289.26419354838714
2006-09-30,290.06333333333333
2006-10-31,289.49
2006-11-30,288.8706666666667
2006-12-31,288.25
2007-01-31,287.071935483871
2007-02-28,285.87940476190477
2007-03-31,284.67860215053764
2007-04-30,281.1342222222222
2007-05-31,277.5036559139785
2007-06-30,273.8808888888889
2007-07-31,272.018064516129
2007-08-31,270.21806451612906
2007-09-30,268.42
2007-10-31,264.67290322580646
2007-11-30,260.867
2007-12-31,257.05290322580646
2008-01-31,251.35258064516125
2008-02-29,245.60206896551722
2008-03-31,239.8259139784946
2008-04-30,234.37811111111108
2008-05-31,228.9289247311828
2008-06-30,223.49144444444445
2008-07-31,219.9777419354839
2008-08-31,216.5344086021505
2008-09-30,213.09477777777778
2008-10-31,213.68645161290323
2008-11-30,214.41566666666665
2008-12-31,215.1464516129032
2009-01-31,211.5248387096774
2009-02-28,207.77119047619044
2009-03-31,203.9915053763441
2009-04-30,200.71544444444447
2009-05-31,197.44860215053762
2009-06-30,194.1887777777778
2009-07-31,192.48000000000002
2009-08-31,190.82666666666665
2009-09-30,189.1751111111111
2009-10-31,188.48774193548388
2009-11-30,187.8351111111111
2009-12-31,187.1810752688172
2010-01-31,184.85354838709677
2010-02-28,182.47845238095235
2010-03-31,180.08688172043009
2010-04-30,180.6254444444444
2010-05-31,181.26279569892472
2010-06-30,181.89877777777775
2010-07-31,180.31677419354835
2010-08-31,178.6601075268817
2010-09-30,177.00522222222222
2010-10-31,174.5725806451613
2010-11-30,172.11855555555556
2010-12-31,169.65924731182798
2011-01-31,168.3025806451613
2011-02-28,166.98714285714286
2011-03-31,165.66258064516128
2011-04-30,166.26444444444445
2011-05-31,166.93182795698925
2011-06-30,167.5977777777778
2011-07-31,167.53612903225806
2011-08-31,167.44946236559142
2011-09-30,167.3628888888889
2011-10-31,166.57612903225808
2011-11-30,165.767
2011-12-31,164.95612903225808
2012-01-31,164.62354838709678
2012-02-29,164.30758620689653
2012-03-31,163.99021505376342
2012-04-30,165.517
2012-05-31,167.10870967741934
2012-06-30,168.697
2012-07-31,169.49516129032259
2012-08-31,170.26516129032257
2012-09-30,171.03433333333334
2012-10-31,171.16
2012-11-30,171.26322222222223
2012-12-31,171.36666666666667
2013-01-31,173.74096774193546
2013-02-28,176.1825
2013-03-31,178.64096774193547
2013-04-30,180.59533333333334
2013-05-31,182.5374193548387
2013-06-30,184.47533333333334
2013-07-31,186.00774193548386
2013-08-31,187.5244086021505
2013-09-30,189.03944444444446
2013-10-31,189.70290322580644
2013-11-30,190.33555555555557
2013-12-31,190.96956989247312
2014-01-31,192.65129032258065
2014-02-28,194.36202380952378
2014-03-31,196.08462365591396
2014-04-30,197.62866666666667
2014-05-31,199.17032258064515
2014-06-30,200.70866666666666
2014-07-31,201.4632258064516
2014-08-31,202.18989247311825
2014-09-30,202.91577777777778
2014-10-31,204.2432258064516
2014-11-30,205.58844444444443
2014-12-31,206.93655913978495
2015-01-31,208.9864516129032
2015-02-28,211.05261904761906
2015-03-31,213.13311827956989
2015-04-30,215.11077777777777
2015-05-31,217.0895698924731
2015-06-30,219.06411111111112
2015-07-31,220.1396774193548
2015-08-31,221.18301075268818
2015-09-30,222.22522222222221
2015-10-31,223.83419354838705
2015-11-30,225.45911111111107
2015-12-31,227.0875268817204
2016-01-31,229.62064516129027
2016-02-29,232.17827586206897
2016-03-31,234.747311827957
2016-04-30,236.628
2016-05-31,238.49
2016-06-30,240.34799999999998
2016-07-31,242.44225806451612
2016-08-31,244.54225806451615
2016-09-30,246.64000000000001
2016-10-31,248.06483870967745
2016-11-30,249.46333333333334
2016-12-31,250.86483870967743
2017-01-31,253.67774193548388
2017-02-28,256.52785714285716
2017-03-31,259.3977419354839
2017-04-30,261.01088888888887
2017-05-31,262.5859139784946
2017-06-30,264.1575555555555
2017-07-31,265.7874193548387
2017-08-31,267.4174193548387
2017-09-30,269.0456666666667
2017-10-31,271.48064516129034
2017-11-30,273.93800000000005
2017-12-31,276.40064516129036
2018-01-31,278.73806451612904
2018-02-28,281.0633333333334
2018-03-31,283.40473118279573
2018-04-30,285.0556666666667
2018-05-31,286.6874193548387
2018-06-30,288.3156666666667
2018-07-31,288.911935483871
2018-08-31,289.471935483871
2018-09-30,290.03133333333335
2018-10-31,291.9693548387097
2018-11-30,293.9505555555555
2018-12-31,295.93602150537635
2019-01-31,297.60645161290324
2019-02-28,299.2607142857143
2019-03-31,300.92645161290324
2019-04-30,303.0712222222223
2019-05-31,305.2368817204301
2019-06-30,307.39788888888893
2019-07-31,308.85064516129034
2019-08-31,310.27731182795696
2019-09-30,311.70244444444444
2019-10-31,313.508064516129
2019-11-30,315.3227777777778
2019-12-31,317.14139784946235
2020-01-31,318.61290322580646
2020-02-29,320.0696551724138
2020-03-31,321.5329032258064
2020-04-30,324.103
2020-05-31,326.71580645161293
2020-06-30,329.32300000000004
2020-07-31,332.1970967741936
2020-08-31,335.0770967741936
2020-09-30,337.954
2020-10-31,342.2951612903226
2020-11-30,346.6771111111111
2020-12-31,351.0684946236559
2021-01-31,359.0841935483871
2021-02-28,367.1927380952381
2021-03-31,375.35752688172045
2021-04-30,384.7163333333333
2021-05-31,394.1364516129032
2021-06-30,403.53633333333335
2021-07-31,411.1983870967742
2021-08-31,418.79172043010755
2021-09-30,426.37688888888886
2021-10-31,376.08777893225806
2021-11-30,373.79511028266666
2021-12-31,366.58794312741935
2022-01-31,354.60566276419354
2022-02-28,339.86910961464287
2022-03-31,323.4794832245162
2022-04-30,306.3010190726667
2022-05-31,288.6023809032258
2022-06-30,270.7421785376667
2022-07-31,252.88216295580645
2022-08-31,235.2757254664516
2022-09-30,218.07911820233335
2022-10-31,218.07911820233335
