DATE,CSUSHPINSA
2007-01-01,182.718
2007-02-01,182.47099999999998
2007-03-01,182.19400000000002
2007-04-01,182.13099999999997
2007-05-01,181.885
2007-06-01,181.541
2007-07-01,180.99400000000003
2007-08-01,180.236
2007-09-01,179.123
2007-10-01,177.53
2007-11-01,175.16099999999997
2007-12-01,173.338
2008-01-01,171.079
2008-02-01,169.19299999999998
2008-03-01,167.90599999999998
2008-04-01,167.325
2008-05-01,167.02200000000002
2008-06-01,166.53799999999998
2008-07-01,165.71400000000003
2008-08-01,164.278
2008-09-01,161.91299999999998
2008-10-01,159.16299999999998
2008-11-01,156.071
2008-12-01,152.543
2009-01-01,149.36
2009-02-01,147.615
2009-03-01,146.513
2009-04-01,146.942
2009-05-01,148.17
2009-06-01,149.796
2009-07-01,150.747
2009-08-01,150.665
2009-09-01,149.624
2009-10-01,148.58100000000002
2009-11-01,147.936
2009-12-01,146.66299999999998
2010-01-01,145.003
2010-02-01,143.055
2010-03-01,143.597
2010-04-01,145.401
2010-05-01,147.036
2010-06-01,147.701
2010-07-01,147.561
2010-08-01,146.425
2010-09-01,144.607
2010-10-01,143.129
2010-11-01,141.822
2010-12-01,140.635
2011-01-01,139.046
2011-02-01,137.74200000000002
2011-03-01,137.79399999999998
2011-04-01,139.16299999999998
2011-05-01,140.695
2011-06-01,141.947
2011-07-01,142.343
2011-08-01,141.786
2011-09-01,140.168
2011-10-01,138.409
2011-11-01,136.665
2011-12-01,135.167
2012-01-01,134.166
2012-02-01,133.995
2012-03-01,135.865
2012-04-01,138.476
2012-05-01,141.054
2012-06-01,143.173
2012-07-01,144.282
2012-08-01,144.705
2012-09-01,144.358
2012-10-01,143.97
2012-11-01,143.964
2012-12-01,143.872
2013-01-01,144.314
2013-02-01,145.162
2013-03-01,147.96200000000002
2013-04-01,150.97299999999998
2013-05-01,153.866
2013-06-01,156.436
2013-07-01,158.297
2013-08-01,159.405
2013-09-01,159.68200000000002
2013-10-01,159.562
2013-11-01,159.36700000000002
2013-12-01,159.284
2014-01-01,159.375
2014-02-01,159.881
2014-03-01,161.19799999999998
2014-04-01,162.976
2014-05-01,164.69
2014-06-01,166.21900000000002
2014-07-01,167.142
2014-08-01,167.457
2014-09-01,167.24900000000002
2014-10-01,166.918
2014-11-01,166.667
2014-12-01,166.472
2015-01-01,166.266
2015-02-01,166.65099999999998
2015-03-01,168.107
2015-04-01,169.982
2015-05-01,171.86
2015-06-01,173.46
2015-07-01,174.50599999999997
2015-08-01,174.95
2015-09-01,175.06
2015-10-01,175.067
2015-11-01,175.16299999999998
2015-12-01,175.139
2016-01-01,175.05900000000003
2016-02-01,175.303
2016-03-01,176.62400000000002
2016-04-01,178.516
2016-05-01,180.363
2016-06-01,181.935
2016-07-01,183.037
2016-08-01,183.675
2016-09-01,183.96599999999998
2016-10-01,184.044
2016-11-01,184.25799999999998
2016-12-01,184.43
2017-01-01,184.683
2017-02-01,185.049
2017-03-01,186.553
2017-04-01,188.56099999999998
2017-05-01,190.55900000000003
2017-06-01,192.294
2017-07-01,193.546
2017-08-01,194.385
2017-09-01,194.857
2017-10-01,195.123
2017-11-01,195.489
2017-12-01,195.885
2018-01-01,196.153
2018-02-01,196.942
2018-03-01,198.61
2018-04-01,200.65099999999998
2018-05-01,202.487
2018-06-01,204.075
2018-07-01,204.98
2018-08-01,205.356
2018-09-01,205.40599999999998
2018-10-01,205.40599999999998
2018-11-01,205.14700000000002
2018-12-01,204.739
2019-01-01,204.24599999999998
2019-02-01,204.476
2019-03-01,205.82299999999998
2019-04-01,207.735
2019-05-01,209.40099999999998
2019-06-01,210.645
2019-07-01,211.40400000000002
2019-08-01,211.765
2019-09-01,211.94099999999997
2019-10-01,212.032
2019-11-01,212.167
2019-12-01,212.294
2020-01-01,212.451
2020-02-01,213.266
2020-03-01,215.24099999999999
2020-04-01,217.292
2020-05-01,218.549
2020-06-01,219.878
2020-07-01,221.642
2020-08-01,224.125
2020-09-01,226.88400000000001
2020-10-01,229.899
2020-11-01,232.40599999999998
2020-12-01,234.456
2021-01-01,236.505
2021-02-01,239.25900000000001
2021-03-01,244.248
2021-04-01,249.86700000000002
2021-05-01,255.49599999999998
2021-06-01,261.226
2021-07-01,265.567
2021-08-01,268.88
2021-09-01,271.42
2021-10-01,273.58
2021-11-01,276.086
2021-12-01,278.629
