DATE,TPXRSA
1/31/2020,226.9748621
2/29/2020,229.0913034
3/31/2020,230.6853944
4/30/2020,231.4266521
5/31/2020,231.8203623
6/30/2020,232.7677797
7/31/2020,235.5415341
8/31/2020,238.1431457
9/30/2020,241.7876461
10/31/2020,244.9203854
11/30/2020,248.6503583
12/31/2020,252.4662401
1/31/2021,256.0761064
2/28/2021,260.5799438
3/31/2021,266.133045
4/30/2021,273.0478937
5/31/2021,281.4099625
6/30/2021,289.368251
7/31/2021,296.5977347
8/31/2021,303.8893974
9/30/2021,309.5271017
10/31/2021,315.7948958
11/30/2021,321.6195673
12/31/2021,299.5405073
1/31/2022,295.6004816
2/28/2022,286.1244979
3/31/2022,272.7818219
4/30/2022,257.7901194
5/31/2022,242.0386578
6/30/2022,225.8704102
7/31/2022,209.2794554
8/31/2022,192.3847313
9/30/2022,175.2838521
10/31/2022,158.0044407
11/30/2022,140.6628606
12/31/2022,140.6628606
