zillow_addresses_stPete,current_price_stPete
"7100 Sunshine Skyway Ln S APT 904, Saint Petersburg, FL 33711",575000
"520 16th Ave S, Saint Petersburg, FL 33701",300000
"175 1st St S APT 1108, Saint Petersburg, FL 33701",1975000
"1130 13th Ave S, Saint Petersburg, FL 33705",315000
"4780 Cove Cir APT 103, Saint Petersburg, FL 33708",239000
"4895 Bay St NE APT 105, Saint Petersburg, FL 33703",182500
"5810 21st St N APT 12, Saint Petersburg, FL 33714",124900
"Leland Plan, Shoreline",401990
"2848 62nd Ave N, Saint Petersburg, FL 33702",179000
"4046 Overlook Dr NE, Saint Petersburg, FL 33703",349900
"4330 86th Ln N #56, Saint Petersburg, FL 33709",175000
"4100 40th Way S, Saint Petersburg, FL 33711",739900
"6180 Sun Blvd APT 304, Saint Petersburg, FL 33715",475000
"4834 10th Ave S, Saint Petersburg, FL 33711",259900
"3957 Wahoo Dr SE, Saint Petersburg, FL 33705",399900
"4510 46th Ave N, Saint Petersburg, FL 33714",229900
"5530 80th St N UNIT D201, Saint Petersburg, FL 33709",112900
"2874 38th Ave N, Saint Petersburg, FL 33713",375000
"2812 47th Ave S, Saint Petersburg, FL 33712",359000
"5350 56th Ter N, Saint Petersburg, FL 33709",325000
"6857 49th Ave N, Saint Petersburg, FL 33709",279999
"795 89th Ave N, Saint Petersburg, FL 33702",378000
"6218 Palma Del Mar Blvd S APT 302, Saint Petersburg, FL 33715",539000
"125 5th Ave NE APT 110, Saint Petersburg, FL 33701",395000
"6372 Palma Del Mar Blvd S APT 314, Saint Petersburg, FL 33715",449000
"947 James Ave S, Saint Petersburg, FL 33705",495000
"1115 36th Ave NE, Saint Petersburg, FL 33704",1325000
"556 16th Ave NE, Saint Petersburg, FL 33704",1849000
"2785 Bayside Dr S, Saint Petersburg, FL 33705",3850000
"3126 6th Ave S, Saint Petersburg, FL 33712",169000
"626 35th Ave S, Saint Petersburg, FL 33705",550000
"5200 28th St N LOT 603, Saint Petersburg, FL 33714",99900
"5757 66th St N LOT 108, Saint Petersburg, FL 33709",32000
"3811 30th Ave S, Saint Petersburg, FL 33711",775000
"5757 66th St N LOT 152, Saint Petersburg, FL 33709",26000
"301 Madison St S, Saint Petersburg, FL 33711",610000
"1721 Brightwaters Blvd NE, Saint Petersburg, FL 33704",10000000
"4110 32nd St N, Saint Petersburg, FL 33714",349999
"1763 Shore Acres Blvd NE, Saint Petersburg, FL 33703",550000
"9100 Dr Martin Luther King Jr St N APT 320, Saint Petersburg, FL 33702",169998
"1726 Mississippi Ave NE, Saint Petersburg, FL 33703",499000
"724 Northmoor Ave N, Saint Petersburg, FL 33702",245000
"155 55th Ave NE, Saint Petersburg, FL 33703",585000
"4125 Park St N LOT 14, Saint Petersburg, FL 33709",34999
"2361 67th Ave S, Saint Petersburg, FL 33712",429900
"3301 58th Ave N #106, Saint Petersburg, FL 33714",14900
"1761 Brightwaters Blvd NE, Saint Petersburg, FL 33704",13159500
"670 Sunset Dr S, Saint Petersburg, FL 33707",1500000
"5750 80th St N UNIT C305, Saint Petersburg, FL 33709",179900
"6785 58th Ave N, Saint Petersburg, FL 33709",2950000
"1066 42nd Ave NE, Saint Petersburg, FL 33703",1449000
"4900 Brittany Dr S APT 908, Saint Petersburg, FL 33715",269000
"1726 20th Ave S, Saint Petersburg, FL 33712",215000
"Karleton Pl S, Saint Petersburg, FL 33712",89900
"1097 Eden Isle Blvd NE APT 1, Saint Petersburg, FL 33704",499000
"2234 28th St S, Saint Petersburg, FL 33712",229900
"113 Sea Horse Dr SE APT A, Saint Petersburg, FL 33705",239900
"2702 Union St S, Saint Petersburg, FL 33712",459900
"3801 58th Ave N LOT 16, Saint Petersburg, FL 33714",21995
"8245 Yardley Ave N, Saint Petersburg, FL 33710",599000
"1451 54th Ave S, Saint Petersburg, FL 33705",350000
"7400 46th Ave N LOT 410, Saint Petersburg, FL 33709",49000
"3125 Moorings Dr S, Saint Petersburg, FL 33712",725000
"2701 34th St N #104, Saint Petersburg, FL 33713",40995
"0 Starfish Dr SE #34SS, St Petersburg, FL 33705",39900
"5750 80th St N UNIT D204, Saint Petersburg, FL 33709",125000
"850 13th Ave N, Saint Petersburg, FL 33701",1275000
"7913 9th Ave S, Saint Petersburg, FL 33707",2275000
"5251 43rd Ave N, Saint Petersburg, FL 33709",310000
"2701 34th St N #216, Saint Petersburg, FL 33713",19000
"106 Mystic Lake Ter N, Saint Petersburg, FL 33702",399310
"4125 Park St N #26, Saint Petersburg, FL 33709",69900
"5217 81st St N APT 17, Saint Petersburg, FL 33709",119900
"6025 28th St N, Saint Petersburg, FL 33714",499900
"1851 Almeria Way S, Saint Petersburg, FL 33712",899900
"5380 4th St N APT 203, Saint Petersburg, FL 33703",134950
"2901 46th Ave S, Saint Petersburg, FL 33712",550000
"6265 Sun Blvd APT 1204, Saint Petersburg, FL 33715",749900
"10263 Gandy Blvd N APT 501, Saint Petersburg, FL 33702",189950
"6713 Mount Pleasant Rd NE #29, Saint Petersburg, FL 33702",399000
"3269 4th Ave S, Saint Petersburg, FL 33712",114900
"1535 27th Ave N, Saint Petersburg, FL 33704",369000
"4335 10th Ave S, Saint Petersburg, FL 33711",371577
"8451 5th St N, Saint Petersburg, FL 33702",975000
"5200 28th St N #156, Saint Petersburg, FL 33714",69900
"541 26th St S, Saint Petersburg, FL 33712",479000
"4725 3rd Ave S, Saint Petersburg, FL 33711",339900
"2438 9th Ave S, Saint Petersburg, FL 33712",185000
"2065 28th Ave N, Saint Petersburg, FL 33713",240000
"1735 Montana Ave NE, Saint Petersburg, FL 33703",647777
"4037 9th Ave S, Saint Petersburg, FL 33711",149999
"(undisclosed Address), Saint Petersburg, FL 33702",350000
"1900 59th Ave N APT 319, Saint Petersburg, FL 33714",165000
"2312 8th Ave N, Saint Petersburg, FL 33713",479000
"1302 9th Ave N, Saint Petersburg, FL 33705",250000
"5265 Beach Dr SE UNIT 5265D, Saint Petersburg, FL 33705",445000
"2317 44th St S, Saint Petersburg, FL 33711",674995
"3063 2nd Ave N, Saint Petersburg, FL 33713",400000
"592 100th Ave N APT 102, Saint Petersburg, FL 33702",264950
"716 14th Ave NE, Saint Petersburg, FL 33701",2300000
"3810 Dartmouth Ave N, Saint Petersburg, FL 33713",400000
"5861 42nd Ter N APT 1707, Kenneth City, FL 33709",150000
"610 Mount Oak Ave NE #734, Saint Petersburg, FL 33702",265000
"2836 40th Ave N, Saint Petersburg, FL 33714",309000
"3442 17th Ave S, Saint Petersburg, FL 33711",130000
"4125 Park St N #119, Saint Petersburg, FL 33709",67900
"6820 Mount Quincy Dr NE #359, Saint Petersburg, FL 33702",275000
"7170 Mount Bristol Dr NE UNIT 457, Saint Petersburg, FL 33702",245000
"10200 Gandy Blvd N APT 1229, Saint Petersburg, FL 33702",249950
"4481 Pompano Dr SE, Saint Petersburg, FL 33705",945000
"8522 10th St N APT B, Saint Petersburg, FL 33702",154950
"2011 58th Ave N APT 14, Saint Petersburg, FL 33714",129000
"261 Sunset Dr N, Saint Petersburg, FL 33710",1999999
"5880 38th Ave N APT 202, Saint Petersburg, FL 33710",135000
"5521 80th St N UNIT 502, Saint Petersburg, FL 33709",190000
"2710 22nd Ave S, Saint Petersburg, FL 33712",212999
"4000 24th St N #823, Saint Petersburg, FL 33714",40000
"5151 4th St N #90A, Saint Petersburg, FL 33703",39900
"3301 58th Ave N LOT 102, Saint Petersburg, FL 33714",33000
"1400 Gandy Blvd N UNIT 1006, Saint Petersburg, FL 33702",185000
"1827 Maryland Ave NE, Saint Petersburg, FL 33703",440000
"2620 10th St S, Saint Petersburg, FL 33705",349900
"2630 13th Ave N, Saint Petersburg, FL 33713",349999
"7901 10th Ave S, Saint Petersburg, FL 33707",1699000
"5519 25th Ave N, Saint Petersburg, FL 33710",419000
"5895 18th St N APT 19, Saint Petersburg, FL 33714",72900
"(undisclosed Address), Saint Petersburg, FL 33716",125000
"1215 10th St N, Saint Petersburg, FL 33705",1180000
"5020 Brittany Dr S APT 215, Saint Petersburg, FL 33715",259000
"2619 15th Ave N, Saint Petersburg, FL 33713",209000
"28th Ave S, Saint Petersburg, FL 33705",199000
"4025 73rd St N, Saint Petersburg, FL 33709",283500
"740 52nd Ave N, Saint Petersburg, FL 33703",200000
"4130 18th Ave S, Saint Petersburg, FL 33711",375000
"5249 Venetian Blvd NE, Saint Petersburg, FL 33703",825000
"1410 38th Ave N, Saint Petersburg, FL 33704",345000
"5919 10th St N, Saint Petersburg, FL 33703",329900
"5775 Park St N APT 211, Saint Petersburg, FL 33709",244000
"9405 Treasure Ln NE, Saint Petersburg, FL 33702",900000
"103 5th Ave N, Saint Petersburg, FL 33701",6000000
"125 78th Ave NE, Saint Petersburg, FL 33702",799900
"100 4th Ave S APT 424, Saint Petersburg, FL 33701",355000
"545 11th Ave N, Saint Petersburg, FL 33701",333000
"3345 57th Ave N, Saint Petersburg, FL 33714",250000
"4900 38th Way S APT 301, Saint Petersburg, FL 33711",299900
"4125 Park St N LOT 739, Saint Petersburg, FL 33709",42500
"4125 Park St N LOT 1A, Saint Petersburg, FL 33709",51900
"3539 13th Ave N, Saint Petersburg, FL 33713",510000
"701 Mirror Lake Dr N APT 220, Saint Petersburg, FL 33701",349900
"11402 3rd St N UNIT 3, Saint Petersburg, FL 33716",195000
"4125 Park St N #441, Saint Petersburg, FL 33709",59900
"4775 Xenia St N, Saint Petersburg, FL 33714",315000
"344 4th St S, Saint Petersburg, FL 33701",5700000
"3733 6th St S, Saint Petersburg, FL 33705",650000
"5631 Venetian Blvd NE, Saint Petersburg, FL 33703",599900
"8199 Terrace Garden Dr N UNIT 209, Saint Petersburg, FL 33709",242900
"10200 Gandy Blvd N APT 1123, Saint Petersburg, FL 33702",194950
"11405 3rd St N UNIT 2, Saint Petersburg, FL 33716",199950
"5357 81st St N APT 19, Saint Petersburg, FL 33709",120000
"10265 Gandy Blvd N APT 1502, Saint Petersburg, FL 33702",299950
"2701 34th St N #501, Saint Petersburg, FL 33713",25500
"4900 Brittany Dr S APT 206, Saint Petersburg, FL 33715",239000
"6368 99th Way N APT 16C, Seminole, FL 33708",424000
"215 5th St N, Saint Petersburg, FL 33701",2950000
"4810 54th Ave N, Saint Petersburg, FL 33714",399000
"2537 13th Ave N, Saint Petersburg, FL 33713",799900
"555 5th Ave NE #1302, Saint Petersburg, FL 33701",9495000
"5200 28th St N #506, Saint Petersburg, FL 33714",39500
"4125 Park St N LOT 721, Saint Petersburg, FL 33709",42900
"3501 28th Ave S, Saint Petersburg, FL 33711",300000
"5660 80th St N UNIT C308, Saint Petersburg, FL 33709",189900
"5660 80th St N UNIT A308, Saint Petersburg, FL 33709",229999
"5620 Burlington Ave N, Saint Petersburg, FL 33710",464900
"7941 58th Ave N UNIT 303, Saint Petersburg, FL 33709",120000
"1921 58th Ave N APT 21, Saint Petersburg, FL 33714",105000
"Adirondack Plan, Shoreline",406990
"1400 Gandy Blvd N UNIT 703, Saint Petersburg, FL 33702",164950
"10263 Gandy Blvd N APT 2308, Saint Petersburg, FL 33702",299950
"2 BR 2.5 BA ; Residences 506-1906 Plan, Residences 400 Central",1030000
"921 Yale St N, Saint Petersburg, FL 33713",559000
"1610 35th St N, Saint Petersburg, FL 33713",549900
"2600 1st Ave S, Saint Petersburg, FL 33712",1120000
"4339 57th Ave N, Saint Petersburg, FL 33714",450000
"5150 10th Ave N APT 204, Saint Petersburg, FL 33710",154900
"7801 34th Ave N LOT 15, Saint Petersburg, FL 33710",29500
